ID,Wind speed in km/h,Water temperature in degrees Celsius,Waterfowl population,Wave Action,Turbidity of water (NTUs)
5350,31,9,7,Low,1.69
5351,31,10,39,Low,1.84
5352,31,10,5,Low,NA
5353,31,10,5,Low,NA
5354,31,11,19,Low,NA
5355,31,11,55,Low,NA
5356,10,11,50,Low,NA
5357,10,12,NA,Low,NA
5358,10,12,21,Low,NA
5359,10,14,NA,Low,NA
5360,7,11,10,Low,5.64
5361,7,10,15,Low,3.28
5362,7,10,23,Low,NA
5363,7,12,2,Low,NA
5364,7,13,93,Low,NA
5365,7,15,39,Low,NA
5366,7,15,56,Low,NA
5367,7,11,NA,Low,NA
5368,7,11,10,Low,NA
5369,7,12,NA,Low,NA
5370,11,14,7,Moderate,1.49
5371,11,14,14,Moderate,2.45
5372,11,17,20,Low,NA
5373,11,18,6,Moderate,NA
5374,11,17,65,Low,NA
5375,11,19,39,Low,NA
5376,11,21,50,Low,NA
5377,11,11,6,Low,NA
5378,11,11,NA,Low,NA
5379,11,12,10,Moderate,NA
5380,NA,15,19,Low,3.51
5381,NA,16,8,Low,1.54
5382,NA,18,22,NA,NA
5383,NA,20,4,Low,NA
5384,NA,20,131,Low,NA
5385,NA,21,42,Low,NA
5386,NA,23,109,Low,NA
5387,NA,14,NA,Low,NA
5388,NA,14,NA,Low,NA
5389,NA,12,19,NA,NA
5390,6,15,NA,Low,2.29
5391,6,18,21,Low,3.42
5392,6,18,31,Low,NA
5393,6,17,10,Low,NA
5394,6,18,40,Low,NA
5395,6,18,50,Low,NA
5396,6,23,65,Low,NA
5397,6,13,10,Low,NA
5398,6,13,30,Low,NA
5399,6,14,NA,Low,NA
5400,15,14,70,Low,4.39
5401,15,14,14,Low,1.41
5402,15,16,31,High,NA
5403,15,15,10,Low,NA
5404,15,16,35,Low,NA
5405,15,17,55,Low,NA
5406,14,19,25,Low,NA
5407,14,14,NA,Low,NA
5408,14,14,NA,Low,NA
5409,14,15,21,Low,NA
5410,23,16,NA,Low,5.34
5411,23,16,NA,Low,6.28
5412,17,17,22,Low,2.58
5413,17,18,42,Low,2.34
5414,17,14,6,Low,NA
5415,17,16,2,Low,NA
5416,17,16,11,Low,NA
5417,17,18,19,Low,NA
5418,17,20,9,Low,NA
5419,17,16,18,Low,NA
5420,17,16,3,Low,NA
5421,17,16,NA,Moderate,NA
5422,9,16,3,Low,1.37
5423,9,18,7,Low,1.3
5424,9,15,NA,Low,NA
5425,9,18,NA,Low,NA
5426,9,18,25,Low,NA
5427,9,18,12,Low,NA
5428,9,21,20,Low,NA
5429,9,8,NA,Low,NA
5430,9,8,2,Low,NA
5431,9,NA,NA,None,NA
5432,4,18,42,Low,NA
5433,4,18,98,Low,NA
5434,4,21,36,Low,NA
5435,4,19,11,Low,NA
5436,4,19,48,Low,NA
5437,4,18,16,Low,NA
5438,4,19,29,Low,NA
5439,4,12,23,NA,NA
5440,4,12,27,NA,NA
5441,4,16,9,Low,NA
5442,18,22,4,Low,2.1
5443,18,20,12,Low,1.9
5444,18,20,30,Low,NA
5445,18,20,20,Low,NA
5446,18,20,61,Low,NA
5447,18,20,34,Low,NA
5448,18,20,11,Low,NA
5449,18,16,1,Low,NA
5450,18,16,NA,Low,NA
5451,18,17,20,Moderate,NA
5452,9,19,12,Moderate,8.56
5453,9,18,14,Moderate,8.97
5454,9,NA,NA,None,NA
5455,9,NA,NA,None,NA
5456,9,NA,NA,None,NA
5457,9,NA,NA,None,NA
5458,9,21,14,Moderate,NA
5459,9,10,10,Low,NA
5460,9,10,NA,Low,NA
5461,9,18,18,High,NA
5462,15,8,7,Low,NA
5463,15,8,3,Low,NA
5464,15,6,6,Low,NA
5465,15,7,NA,Low,NA
5466,15,8,29,Low,NA
5467,15,11,3,Low,NA
5468,15,14,47,Low,NA
5469,15,6,NA,Low,NA
5470,15,6,11,Low,NA
5471,15,6,NA,Low,NA
5472,41,9,NA,High,7.54
5473,41,NA,NA,None,NA
5474,41,NA,6,Moderate,NA
5475,41,NA,NA,High,NA
5476,41,NA,NA,High,NA
5477,41,NA,7,Low,NA
5478,41,NA,63,Low,NA
5479,41,5,22,High,NA
5480,41,5,15,High,NA
5481,41,7,8,High,NA
5482,21,10,NA,Low,3.12
5483,21,10,3,Low,1.93
5484,21,11,4,Low,NA
5485,21,10,NA,Low,NA
5486,21,10,5,Low,NA
5487,21,12,38,Low,NA
5488,23,12,71,Low,NA
5489,23,10,18,Low,NA
5490,23,10,13,Low,NA
5491,23,13,43,Low,NA
5492,15,12,3,Moderate,5.26
5493,15,16,17,Low,9.62
5494,15,13,12,Low,NA
5495,15,13,NA,Moderate,NA
5496,15,14,60,Low,NA
5497,15,13,18,Low,NA
5498,14,14,45,Low,NA
5499,14,12,23,Moderate,NA
5500,14,11,13,Low,NA
5501,14,13,28,Moderate,NA
5502,2,12,13,Low,2.77
5503,2,13,4,Low,1.16
5504,2,11,26,Low,NA
5505,2,11,12,Low,NA
5506,2,12,8,Low,NA
5507,2,12,18,Low,NA
5508,3,12,32,Low,NA
5509,3,17,NA,Low,NA
5510,3,17,21,Low,NA
5511,3,17,NA,Low,NA
5512,23,18,5,Low,NA
5513,23,17,NA,Low,NA
5514,23,17,13,Low,NA
5515,23,17,24,Low,NA
5516,12,16,46,Low,NA
5517,12,17,18,Moderate,NA
5518,12,16,20,Moderate,NA
5519,12,16,NA,Moderate,NA
5520,15,18,NA,Moderate,3.86
5521,15,16,7,Low,3.19
5522,15,16,15,Low,NA
5523,15,16,NA,High,NA
5524,15,17,30,High,NA
5525,15,17,40,Low,NA
5526,16,17,50,Low,NA
5527,16,16,2,High,NA
5528,16,16,37,High,NA
5529,28,16,21,Moderate,2.58
5530,28,15,1,Moderate,8.56
5531,28,20,71,Low,NA
5532,28,19,NA,Low,NA
5533,28,20,31,Low,NA
5534,28,20,56,Low,NA
5535,28,21,29,Low,NA
5536,28,16,NA,Low,NA
5537,28,16,4,Low,NA
5538,28,16,5,Low,NA
5539,18,17,19,Low,16.52
5540,18,18,19,Low,19.23
5541,18,21,68,Low,NA
5542,18,20,NA,Low,NA
5543,18,20,263,Low,NA
5544,18,20,4,Low,NA
5545,18,20,72,Low,NA
5546,18,15,2,Low,NA
5547,18,16,NA,Low,NA
5548,18,17,NA,Moderate,NA
5549,9,15,13,Low,2.1
5550,9,15,7,Low,1.19
5551,9,16,20,Low,NA
5552,9,16,40,Low,NA
5553,9,14,12,Low,NA
5554,9,18,71,Low,NA
5555,9,18,17,Low,NA
5556,9,4,2,Low,NA
5557,9,4,7,Low,NA
5558,9,9,15,Low,NA
5559,11,NA,NA,None,NA
5560,11,10,NA,NA,0.93
5561,11,10,6,NA,NA
5562,11,10,NA,Low,NA
5563,11,10,NA,NA,NA
5564,11,10,NA,NA,NA
5565,11,10,26,NA,NA
5566,11,10,50,Low,NA
5567,11,10,5,Low,NA
5568,11,11,50,Low,NA
5569,22,10,2,Low,2.85
5570,22,8,10,Low,4.47
5571,22,10,NA,Moderate,NA
5572,22,10,6,Moderate,NA
5573,22,10,13,Low,NA
5574,22,10,NA,Moderate,NA
5575,22,10,33,Moderate,NA
5576,22,12,1,Low,NA
5577,22,12,3,Low,NA
5578,22,11,20,High,NA
5579,NA,9,NA,Low,3.28
5580,NA,10,6,Low,1.24
5581,NA,9,NA,Low,NA
5582,NA,7,NA,Moderate,NA
5583,NA,7,21,Moderate,NA
5584,NA,8,35,Low,NA
5585,24,9,NA,Low,NA
5586,24,11,4,Low,NA
5587,24,11,6,Low,NA
5588,24,11,NA,Low,NA
5589,12,9,4,High,3.21
5590,12,9,12,Moderate,3.68
5591,12,8,16,Low,NA
5592,12,9,NA,Low,NA
5593,12,10,4,Low,NA
5594,12,10,36,Low,NA
5595,32,10,21,Low,NA
5596,32,10,NA,Moderate,NA
5597,32,10,3,Moderate,NA
5598,32,13,27,Moderate,NA
5599,8,14,28,Low,3.92
5600,8,13,11,Low,3.44
5601,8,14,23,NA,NA
5602,8,15,NA,NA,NA
5603,8,16,6,NA,NA
5604,8,16,12,NA,NA
5605,8,17,34,NA,NA
5606,8,14,NA,Low,NA
5607,8,14,NA,Low,NA
5608,8,14,NA,Low,NA
5609,16,16,33,High,NA
5610,7,15,7,Low,8.32
5611,7,17,13,Low,5.41
5612,7,20,22,Low,NA
5613,7,20,3,Low,NA
5614,7,20,108,Low,NA
5615,7,20,34,Low,NA
5616,8,20,96,Low,NA
5617,8,16,NA,Low,NA
5618,8,16,7,Low,NA
5619,8,20,9,Low,NA
5620,8,14,80,Moderate,NA
5621,8,14,42,Moderate,NA
5622,8,19,21,Low,NA
5623,8,20,6,Low,NA
5624,8,20,60,Low,NA
5625,8,18,25,Low,NA
5626,8,20,47,Low,NA
5627,8,19,50,Low,NA
5628,8,19,10,Low,NA
5629,8,18,7,Low,NA
5630,21,18,19,Low,6.92
5631,21,18,6,Low,4.71
5632,21,20,11,Moderate,NA
5633,21,20,NA,Moderate,NA
5634,21,21,60,Moderate,NA
5635,21,21,18,Moderate,NA
5636,24,22,36,Moderate,NA
5637,24,20,11,Moderate,NA
5638,8,11,3,Low,2.15
5639,8,18,24,Low,4.82
5640,8,14,3,Low,NA
5641,8,15,NA,Low,NA
5642,8,15,7,Low,NA
5643,8,16,2,Low,NA
5644,8,16,14,Low,NA
5645,8,15,14,Low,NA
5646,8,16,2,Moderate,NA
5647,8,16,3,Low,NA
5648,16,16,12,Low,5.26
5649,16,16,12,Low,3.25
5650,16,14,25,Low,NA
5651,16,14,4,Low,NA
5652,16,16,41,Low,NA
5653,16,17,16,Low,NA
5654,16,19,20,Low,NA
5655,16,10,4,Low,NA
5656,16,10,11,Low,NA
5657,16,14,NA,Low,NA
5658,NA,NA,NA,None,NA
5659,NA,NA,NA,None,NA
5660,NA,NA,NA,None,NA
5661,NA,NA,NA,None,NA
5662,NA,NA,NA,None,NA
5663,NA,NA,NA,None,NA
5664,NA,NA,NA,None,NA
5665,NA,NA,NA,None,NA
5666,NA,NA,NA,None,NA
5667,NA,NA,NA,None,NA
5668,8,9,2,Low,76.1
5669,8,9,NA,Low,4.85
5670,8,11,6,Low,NA
5671,8,11,5,Low,NA
5672,8,11,12,Low,NA
5673,8,11,16,Low,NA
5674,8,11,27,Low,NA
5675,8,8,3,Low,NA
5676,8,8,12,Low,NA
5677,8,10,10,Low,NA
5678,13,9,12,Low,3.45
5679,13,9,5,Low,1.65
5680,13,7,8,Low,NA
5681,13,9,1,Low,NA
5682,13,9,11,Low,NA
5683,13,11,27,Low,NA
5684,13,13,31,Low,NA
5685,13,7,NA,Low,NA
5686,13,7,NA,Low,NA
5687,13,8,75,Low,NA
5688,9,9,16,Low,7.43
5689,9,9,10,Low,3.37
5690,9,9,3,Low,NA
5691,9,9,1,Low,NA
5692,9,10,NA,Low,NA
5693,9,10,16,Low,NA
5694,9,10,24,Low,NA
5695,9,10,2,NA,NA
5696,9,10,4,NA,NA
5697,9,10,NA,Low,NA
5698,NA,12,3,Low,3.95
5699,NA,13,17,Low,1.55
5700,NA,18,2,NA,NA
5701,NA,18,1,NA,NA
5702,NA,18,78,NA,NA
5703,NA,19,6,NA,NA
5704,7,19,119,NA,NA
5705,7,16,NA,Low,NA
5706,7,16,NA,Low,NA
5707,7,18,65,Low,NA
5708,15,13,4,Moderate,6.32
5709,15,13,13,Moderate,8.21
5710,15,17,15,Low,NA
5711,15,16,10,Low,NA
5712,15,18,45,Low,NA
5713,15,17,20,Low,NA
5714,15,20,40,Low,NA
5715,15,18,6,Low,NA
5716,15,18,10,Low,NA
5717,15,13,NA,Moderate,NA
5718,5,NA,NA,None,NA
5719,5,NA,NA,None,NA
5720,5,17,17,Low,NA
5721,5,17,NA,Low,NA
5722,5,16,12,Low,NA
5723,5,16,28,Low,NA
5724,5,17,24,Low,NA
5725,5,19,13,Low,NA
5726,5,19,NA,Low,NA
5727,5,19,7,Low,NA
5728,24,20,11,Moderate,NA
5729,24,18,75,Low,NA
5730,11,17,21,Moderate,14.7
5731,11,18,13,Low,5.77
5732,11,24,8,Moderate,NA
5733,11,24,8,Moderate,NA
5734,11,23,181,Moderate,NA
5735,11,23,7,Moderate,NA
5736,11,26,62,Moderate,NA
5737,11,16,37,Moderate,NA
5738,11,16,17,Moderate,NA
5739,11,16,NA,Moderate,NA
5740,5,15,NA,Low,9.14
5741,5,15,14,Low,10.8
5742,5,16,20,Low,NA
5743,5,18,5,Low,NA
5744,5,20,40,Low,NA
5745,5,18,30,Low,NA
5746,16,18,45,Low,NA
5747,16,12,NA,Low,NA
5748,16,12,7,Low,NA
5749,16,14,80,Low,NA
5750,NA,18,4,Low,5.45
5751,NA,18,NA,Low,18.23
5752,NA,16,16,Low,NA
5753,NA,17,12,Low,NA
5754,NA,18,8,Low,NA
5755,NA,18,5,Low,NA
5756,NA,21,26,Low,NA
5757,NA,18,4,Low,NA
5758,NA,17,NA,Low,NA
5759,NA,17,5,Low,NA
5760,4,17,4,Low,1.3
5761,4,19,28,Low,1.48
5762,4,19,30,Low,NA
5763,4,20,6,Low,NA
5764,4,20,50,Low,NA
5765,4,21,4,Low,NA
5766,4,22,40,Low,NA
5767,4,17,7,Low,NA
5768,4,17,NA,Low,NA
5769,4,16,7,Low,NA
5770,9,16,33,Low,1.53
5771,9,18,187,Low,0.9
5772,9,15,21,Low,NA
5773,9,16,18,Low,NA
5774,9,15,38,Low,NA
5775,9,17,5,Low,NA
5776,9,19,11,Low,NA
5777,9,16,14,Low,NA
5778,9,16,17,Low,NA
5779,9,15,NA,Moderate,NA
5780,9,19,NA,Low,2.15
5781,9,19,NA,Low,5.26
5782,9,20,31,Moderate,NA
5783,9,21,3,Moderate,NA
5784,9,21,71,Low,NA
5785,9,22,52,Low,NA
5786,9,21,11,Low,NA
5787,9,20,7,Low,NA
5788,9,20,10,Low,NA
5789,9,18,8,High,NA
5790,NA,6,NA,Low,0.03
5791,NA,6,10,Low,0.02
5792,NA,6,4,Low,NA
5793,NA,7,NA,Low,NA
5794,NA,8,39,Low,NA
5795,NA,8,5,Low,NA
5796,NA,9,46,Low,NA
5797,NA,8,2,Low,NA
5798,NA,8,5,Low,NA
5799,NA,9,NA,Low,NA
5800,20,8,NA,Low,1.26
5801,20,9,NA,Moderate,1.72
5802,20,9,3,Low,NA
5803,20,8,1,Low,NA
5804,20,8,48,Moderate,NA
5805,20,8,32,Low,NA
5806,11,8,16,Moderate,NA
5807,11,7,27,Moderate,NA
5808,11,7,11,Moderate,NA
5809,11,7,5,Moderate,NA
5810,22,8,11,Low,21.2
5811,22,8,6,Low,13.27
5812,22,8,12,Moderate,NA
5813,22,8,NA,Moderate,NA
5814,22,9,18,Low,NA
5815,22,10,28,Low,NA
5816,22,10,35,Low,NA
5817,22,8,1,Low,NA
5818,22,8,2,Low,NA
5819,22,13,25,Moderate,NA
5820,7,9,5,Moderate,14.7
5821,7,9,10,Low,2.04
5822,7,7,5,Low,NA
5823,7,10,NA,Low,NA
5824,7,10,22,Low,NA
5825,7,9,36,Low,NA
5826,17,9,18,Low,NA
5827,17,9,10,Moderate,NA
5828,17,9,NA,Moderate,NA
5829,17,10,45,Low,NA
5830,5,9,12,Low,7.4
5831,5,9,8,Low,1.22
5832,5,8,5,Low,NA
5833,5,10,NA,Low,NA
5834,5,10,9,Low,NA
5835,5,9,31,Low,NA
5836,5,8,45,Low,NA
5837,5,11,NA,Low,NA
5838,5,11,5,Low,NA
5839,5,12,NA,Low,NA
5840,7,12,NA,Low,4.39
5841,7,16,11,Low,1
5842,7,13,38,None,NA
5843,7,13,NA,Low,NA
5844,7,14,51,Low,NA
5845,7,16,117,None,NA
5846,7,18,117,None,NA
5847,7,12,3,Moderate,NA
5848,7,12,15,Moderate,NA
5849,7,14,19,Moderate,NA
5850,18,15,9,Low,12.28
5851,18,15,12,Low,6.54
5852,18,21,71,Low,NA
5853,18,19,5,Low,NA
5854,18,21,153,Low,NA
5855,18,20,120,Low,NA
5856,18,22,120,Low,NA
5857,18,14,3,Low,NA
5858,18,14,15,Low,NA
5859,18,12,NA,Low,NA
5860,9,15,24,Low,1.59
5861,9,15,17,Low,1.18
5862,9,20,56,Low,NA
5863,9,19,38,Low,NA
5864,9,21,149,Low,NA
5865,9,20,24,Low,NA
5866,9,20,32,Low,NA
5867,9,20,11,Low,NA
5868,9,20,NA,Low,NA
5869,9,20,NA,Low,NA
5870,16,16,39,Low,3.85
5871,16,16,39,Low,5.62
5872,16,16,5,Low,NA
5873,16,14,6,Low,NA
5874,16,15,21,Moderate,NA
5875,16,17,15,Low,NA
5876,17,16,22,Low,NA
5877,17,12,12,Low,NA
5878,17,10,9,Low,NA
5879,17,16,2,Low,NA
5880,9,17,NA,Moderate,6.81
5881,9,17,7,Low,3.24
5882,9,19,107,Moderate,NA
5883,9,17,32,Moderate,NA
5884,9,17,12,Moderate,NA
5885,9,17,16,Moderate,NA
5886,9,16,46,Low,NA
5887,9,13,NA,Low,NA
5888,9,13,50,Low,NA
5889,9,16,NA,Moderate,NA
5890,4,12,NA,Low,1.09
5891,4,12,16,Low,5.49
5892,4,17,30,Low,NA
5893,4,18,5,Low,NA
5894,4,18,50,Low,NA
5895,4,17,20,Low,NA
5896,4,19,35,Low,NA
5897,4,16,22,Low,NA
5898,4,16,17,Low,NA
5899,4,13,8,Low,NA
5900,29,16,12,Low,2.27
5901,29,16,28,Low,2.76
5902,29,19,NA,Low,NA
5903,29,17,2,Low,NA
5904,29,19,133,Low,NA
5905,29,19,2,Low,NA
5906,28,21,43,Low,NA
5907,28,17,NA,Low,NA
5908,28,17,13,Low,NA
5909,28,18,NA,Low,NA
5910,5,16,56,Moderate,3.12
5911,5,16,19,Low,2.03
5912,5,19,2,NA,NA
5913,5,18,1,NA,NA
5914,5,17,88,NA,NA
5915,5,18,5,NA,NA
5916,9,19,42,NA,NA
5917,9,15,5,Low,NA
5918,9,15,10,Low,NA
5919,9,17,NA,Low,NA
5920,18,11,10,Low,2.84
5921,18,16,33,Low,1.2
5922,18,12,NA,Low,NA
5923,18,14,15,Low,NA
5924,18,16,28,Low,NA
5925,18,14,13,Low,NA
5926,NA,NA,NA,None,NA
5927,NA,NA,NA,None,NA
5928,NA,NA,NA,None,NA
5929,NA,NA,NA,None,NA
5930,4,15,3,Low,11.3
5931,4,15,9,Low,5.53
5932,4,16,4,Low,NA
5933,4,18,8,Low,NA
5934,4,18,24,Low,NA
5935,4,19,16,Low,NA
5936,7,19,NA,Low,NA
5937,7,15,NA,Low,NA
5938,7,15,210,Low,NA
5939,7,18,30,Low,NA
5940,15,16,NA,Moderate,6.6
5941,15,15,7,Low,1.29
5942,15,22,25,Low,NA
5943,15,21,5,Low,NA
5944,15,21,45,Low,NA
5945,15,20,30,Low,NA
5946,NA,21,60,Low,NA
5947,NA,20,10,Moderate,NA
5948,NA,20,7,Moderate,NA
5949,NA,20,NA,Moderate,NA
5950,12,8,5,NA,1.12
5951,12,8,32,NA,1.03
5952,12,8,5,Low,NA
5953,12,9,NA,Low,NA
5954,12,10,59,Low,NA
5955,12,12,8,Low,NA
5956,12,12,8,Low,NA
5957,12,6,4,Low,NA
5958,12,6,30,Low,NA
5959,12,6,NA,Low,NA
5960,NA,11,90,Moderate,2.21
5961,NA,11,180,Moderate,3.84
5962,NA,10,12,Low,NA
5963,NA,10,17,Low,NA
5964,NA,12,42,Low,NA
5965,NA,11,33,Low,NA
5966,NA,12,28,Low,NA
5967,NA,5,3,Moderate,NA
5968,NA,5,23,Moderate,NA
5969,NA,11,NA,Low,NA
5970,25,10,NA,Moderate,1.82
5971,25,10,13,Low,1.25
5972,25,12,20,Low,NA
5973,25,13,10,Moderate,NA
5974,25,12,55,Moderate,NA
5975,25,12,20,Low,NA
5976,5,20,45,Low,NA
5977,5,20,100,Moderate,NA
5978,5,20,38,Moderate,NA
5979,5,13,7,Moderate,NA
5980,8,14,55,High,3.42
5981,8,15,19,Low,1
5982,8,17,17,Low,NA
5983,8,17,58,Low,NA
5984,8,17,12,Low,NA
5985,8,18,12,Low,NA
5986,17,18,36,Low,NA
5987,17,19,NA,Low,NA
5988,17,19,13,Low,NA
5989,17,17,NA,Moderate,NA
5990,12,15,41,Low,1.18
5991,12,15,77,Low,3.92
5992,12,16,5,NA,NA
5993,12,18,150,NA,NA
5994,12,18,NA,NA,NA
5995,12,20,62,NA,NA
5996,12,22,62,NA,NA
5997,12,14,NA,Low,NA
5998,12,13,25,Low,NA
5999,12,12,NA,Low,NA
6000,10,16,28,Low,3.89
6001,10,13,NA,Low,1.13
6002,10,15,30,Low,NA
6003,10,16,10,Low,NA
6004,10,17,30,Low,NA
6005,10,18,25,Low,NA
6006,10,17,45,Low,NA
6007,10,15,16,Low,NA
6008,10,15,4,Low,NA
6009,10,10,NA,Low,NA
6010,5,13,5,Low,0.46
6011,5,13,13,Low,0.98
6012,5,15,56,Low,NA
6013,5,15,27,Low,NA
6014,5,15,34,Low,NA
6015,5,15,12,Low,NA
6016,17,15,NA,Low,NA
6017,17,8,NA,Low,NA
6018,17,8,5,Low,NA
6019,17,11,8,Low,NA
6020,8,14,5,Low,0.9
6021,8,14,7,Low,0.63
6022,8,15,50,Low,NA
6023,8,15,NA,Low,NA
6024,8,17,35,Low,NA
6025,8,17,20,Low,NA
6026,8,15,60,Low,NA
6027,8,10,5,Low,NA
6028,8,10,NA,Low,NA
6029,8,10,15,Low,NA
6030,15,18,23,Low,NA
6031,15,18,NA,Low,NA
6032,15,20,25,Low,NA
6033,15,20,10,Low,NA
6034,15,21,35,Low,NA
6035,15,12,30,Low,NA
6036,NA,22,50,Low,NA
6037,NA,20,NA,Low,NA
6038,NA,21,12,Low,NA
6039,NA,26,NA,Low,NA
6040,13,14,26,Low,2.87
6041,13,12,5,Low,2.13
6042,13,10,10,Low,NA
6043,13,10,10,Low,NA
6044,13,10,11,Low,NA
6045,13,10,12,Low,NA
6046,9,10,12,Low,NA
6047,9,6,6,Low,NA
6048,9,6,51,Low,NA
6049,9,NA,NA,NA,NA
6050,7,14,49,Low,3.14
6051,7,14,27,Low,3.15
6052,7,15,NA,Low,NA
6053,7,15,4,Low,NA
6054,7,15,17,Low,NA
6055,7,16,3,Low,NA
6056,14,16,41,Low,NA
6057,14,12,6,NA,NA
6058,14,12,43,NA,NA
6059,14,12,NA,Low,NA
6060,6,14,17,Low,2.67
6061,6,16,4,NA,9.36
6062,6,13,2,Low,NA
6063,6,16,NA,Low,NA
6064,6,16,35,Low,NA
6065,6,16,NA,Low,NA
6066,6,17,141,Low,NA
6067,6,10,9,Low,NA
6068,6,10,6,Low,NA
6069,6,14,35,Low,NA
6070,3,14,74,Low,2.95
6071,3,14,23,Low,2.9
6072,3,14,NA,Low,NA
6073,3,14,12,Low,NA
6074,3,15,18,Low,NA
6075,3,15,NA,Low,NA
6076,4,15,32,Low,NA
6077,4,12,4,Low,NA
6078,4,12,50,Low,NA
6079,4,14,10,Low,NA
6080,10,18,NA,Low,1.35
6081,10,18,NA,Low,1.78
6082,10,20,30,Low,NA
6083,10,21,NA,Low,NA
6084,10,21,45,Low,NA
6085,10,20,20,Low,NA
6086,13,21,50,Low,NA
6087,13,22,11,Low,NA
6088,13,22,14,Low,NA
6089,13,20,5,Moderate,NA
6090,14,21,NA,Low,1.46
6091,14,21,NA,Low,1.87
6092,14,24,28,NA,NA
6093,14,21,22,NA,NA
6094,14,24,250,NA,NA
6095,14,23,36,NA,NA
6096,14,23,78,NA,NA
6097,14,18,NA,Low,NA
6098,14,18,3,Low,NA
6099,14,18,5,Low,NA
6100,3,14,64,Low,4.12
6101,3,13,32,Low,3.86
6102,3,20,6,Low,NA
6103,3,20,2,Low,NA
6104,3,20,213,Low,NA
6105,3,20,5,Low,NA
6106,3,18,74,Low,NA
6107,3,12,14,Low,NA
6108,3,12,22,Low,NA
6109,3,12,5,Low,NA
6110,7,15,22,Low,2
6111,7,15,17,Low,1.01
6112,7,17,12,Low,NA
6113,7,17,18,Low,NA
6114,7,18,57,Low,NA
6115,7,19,12,Low,NA
6116,7,20,8,Low,NA
6117,7,18,8,Low,NA
6118,7,17,10,Low,NA
6119,7,19,NA,Low,NA
6120,8,12,9,Low,3.18
6121,8,12,31,Low,2.86
6122,8,18,86,Low,NA
6123,8,18,NA,Low,NA
6124,8,18,12,Low,NA
6125,8,18,24,Low,NA
6126,8,18,28,Low,NA
6127,8,15,NA,Low,NA
6128,8,15,8,Low,NA
6129,8,16,55,Low,NA
6130,9,15,27,Moderate,4.4
6131,9,15,42,Moderate,1.27
6132,9,17,48,Moderate,NA
6133,9,17,4,Low,NA
6134,9,17,18,Low,NA
6135,9,17,24,Low,NA
6136,13,18,35,Low,NA
6137,13,19,50,Moderate,NA
6138,13,19,10,Moderate,NA
6139,13,16,NA,Moderate,NA
6140,6,18,NA,Low,4.48
6141,6,18,32,Low,5.2
6142,6,22,52,NA,NA
6143,6,23,3,NA,NA
6144,6,24,115,NA,NA
6145,6,26,37,NA,NA
6146,8,26,88,NA,NA
6147,8,19,3,Low,NA
6148,8,16,NA,Low,NA
6149,8,18,70,Low,NA
6150,7,13,32,Low,2.34
6151,7,13,237,Low,3.39
6152,7,12,35,Low,NA
6153,7,10,12,Low,NA
6154,7,11,42,Low,NA
6155,7,13,31,Low,NA
6156,13,13,57,Low,NA
6157,13,10,31,Low,NA
6158,13,10,25,Low,NA
6159,13,10,10,Low,NA
6160,37,5,27,Low,0.79
6161,37,7,45,NA,0.81
6162,37,8,26,Low,NA
6163,37,10,52,Low,NA
6164,37,10,44,Low,NA
6165,37,11,72,Low,NA
6166,37,12,47,Low,NA
6167,37,5,2,Low,NA
6168,37,5,18,Low,NA
6169,37,6,12,Low,NA
6170,9,14,80,Moderate,0.64
6171,9,14,52,High,1.1
6172,9,12,31,Low,NA
6173,9,12,4,Low,NA
6174,9,12,17,Low,NA
6175,9,12,6,Low,NA
6176,18,12,2,Low,NA
6177,18,6,5,Low,NA
6178,18,6,41,Low,NA
6179,18,7,NA,Low,NA
6180,18,7,23,Low,3.08
6181,18,9,37,Low,1.03
6182,18,9,7,Low,NA
6183,18,8,3,Low,NA
6184,18,10,55,Low,NA
6185,18,8,61,Low,NA
6186,18,8,19,Low,NA
6187,18,6,9,Low,NA
6188,18,6,55,Low,NA
6189,18,9,7,Low,NA
6190,7,16,18,Low,1.74
6191,7,18,NA,Low,7.24
6192,7,17,50,Low,NA
6193,7,17,5,Low,NA
6194,7,18,45,Low,NA
6195,7,19,20,Low,NA
6196,7,20,55,Low,NA
6197,7,17,200,Low,NA
6198,7,16,30,Low,NA
6199,7,17,16,Low,NA
6200,30,19,10,High,NA
6201,30,19,18,Low,2.19
6202,30,20,10,Low,NA
6203,30,20,5,High,NA
6204,30,21,50,Moderate,NA
6205,30,19,30,Moderate,NA
6206,NA,22,55,Moderate,NA
6207,NA,19,2,High,NA
6208,NA,19,37,High,NA
6209,NA,19,14,Moderate,NA
6210,NA,10,19,Low,1.23
6211,NA,9,38,Low,1.21
6212,NA,9,41,Low,NA
6213,NA,10,8,Low,NA
6214,NA,10,13,Low,NA
6215,NA,10,37,Low,NA
6216,NA,11,8,Low,NA
6217,NA,6,12,NA,NA
6218,NA,6,7,NA,NA
6219,NA,6,3,NA,NA
6220,NA,6,10,Low,1.15
6221,NA,6,17,Low,1.07
6222,NA,8,59,Low,NA
6223,NA,8,7,Low,NA
6224,NA,8,32,Low,NA
6225,NA,6,13,Low,NA
6226,NA,6,21,Low,NA
6227,NA,5,NA,Low,NA
6228,NA,5,17,Low,NA
6229,NA,4,42,Low,NA
6230,NA,7,7,Low,1.04
6231,NA,8,52,NA,2.91
6232,NA,10,36,Low,NA
6233,NA,8,12,Low,NA
6234,NA,10,52,Low,NA
6235,NA,11,19,Low,NA
6236,NA,12,27,Low,NA
